save to:--->  ./data/res_0924/all\beta0.005_gamma0.1_meaboth_Qx0.001_Qp0.0001_Px_0.0025_Pp0.002_Rx0.005_N50_L20
beta estimate=0.9989806933988442, gamma estimate=0.01340526668065678
beta estimate=0.9989841167630242, gamma estimate=0.013244480856706264
beta estimate=0.9989780622914869, gamma estimate=0.013278763056653375
beta estimate=0.9989635765404161, gamma estimate=0.013212138010291308
beta estimate=0.9989865576310788, gamma estimate=0.013155842822856756
beta estimate=0.9989690459773793, gamma estimate=0.013259811805500898
beta estimate=0.9989451895350919, gamma estimate=0.013127614940588173
beta estimate=0.9989611286307847, gamma estimate=0.013138700990785679
beta estimate=0.9989249842943128, gamma estimate=0.013013005922768828
beta estimate=0.9988928291982397, gamma estimate=0.012902370817323316
beta estimate=0.9988968016331629, gamma estimate=0.012662966529201014
beta estimate=0.9989008055314997, gamma estimate=0.012744206715883666
beta estimate=0.998934659729464, gamma estimate=0.012398220770264035
beta estimate=0.9989454151805363, gamma estimate=0.012411734899750504
beta estimate=0.9989486583276341, gamma estimate=0.012290301055646435
beta estimate=0.9989428616805398, gamma estimate=0.012261926691029046
beta estimate=0.9989505961136789, gamma estimate=0.01221092651721395
beta estimate=0.9989652942173546, gamma estimate=0.012277974633318312
beta estimate=0.998992986197881, gamma estimate=0.01229754154044449
beta estimate=0.9990373351776705, gamma estimate=0.0123550601482732
beta estimate=0.998995375275218, gamma estimate=0.012523765208707793
beta estimate=0.9990190578088697, gamma estimate=0.012659079197173184
beta estimate=0.9990120048329233, gamma estimate=0.01271837461477382
beta estimate=0.999035381368772, gamma estimate=0.012727807910547173
beta estimate=0.9990393769087076, gamma estimate=0.01283683831481458
beta estimate=0.9990184139502993, gamma estimate=0.012662522596086245
beta estimate=0.9990224681714789, gamma estimate=0.012821626577500689
beta estimate=0.9990075616292142, gamma estimate=0.012952859157549124
beta estimate=0.9989755524483761, gamma estimate=0.012786240076232414
beta estimate=0.9989672905580632, gamma estimate=0.013017612131689227
beta estimate=0.998970558769738, gamma estimate=0.013073952794020516
beta estimate=0.9989857217963091, gamma estimate=0.0130550694046766
beta estimate=0.9989528985585838, gamma estimate=0.013103243344923465
beta estimate=0.9989885132309813, gamma estimate=0.01306439017402522
beta estimate=0.9989678062814585, gamma estimate=0.013129355024285028
beta estimate=0.9989921911473392, gamma estimate=0.01310476994069576
beta estimate=0.9989766528752664, gamma estimate=0.012949479837157052
beta estimate=0.9989565571168647, gamma estimate=0.012855594190042063
beta estimate=0.9989648995139244, gamma estimate=0.012951220408780495
beta estimate=0.9989574356496618, gamma estimate=0.013084938912557909
beta estimate=0.9989444810458988, gamma estimate=0.013150267202256594
beta estimate=0.9989302125715923, gamma estimate=0.013098687791056662
beta estimate=0.9989185565619463, gamma estimate=0.012924245459414674
beta estimate=0.998928526423194, gamma estimate=0.01281248808359109
beta estimate=0.9989167191032131, gamma estimate=0.012705751193926251
beta estimate=0.9989489562900862, gamma estimate=0.01257598433316709
beta estimate=0.9989459191151122, gamma estimate=0.012593493752469154
beta estimate=0.9989615474112727, gamma estimate=0.012470038092336433
beta estimate=0.9989613198851477, gamma estimate=0.012598148788496744
beta estimate=0.9989667236281929, gamma estimate=0.012357349360795133
beta estimate=0.9989529968601965, gamma estimate=0.01223235866191541
beta estimate=0.9989582023955593, gamma estimate=0.01214575590885053
beta estimate=0.9989740492605843, gamma estimate=0.012086570508812788
beta estimate=0.9989678662771756, gamma estimate=0.01202238402537048
beta estimate=0.9989749669693351, gamma estimate=0.012043552880938502
beta estimate=0.9989681157393422, gamma estimate=0.011967008401553458
beta estimate=0.9989578866698059, gamma estimate=0.012085430967425759
beta estimate=0.9989749951373281, gamma estimate=0.012142960251984913
beta estimate=0.9989154823144459, gamma estimate=0.012167154774647804
beta estimate=0.9989617021079537, gamma estimate=0.012193263985749658
beta estimate=0.9989772383772757, gamma estimate=0.012450119409632754
beta estimate=0.9989824613855536, gamma estimate=0.012483081067818147
beta estimate=0.9989498069385507, gamma estimate=0.01250040178317724
beta estimate=0.9989442920166065, gamma estimate=0.012402449222455592
beta estimate=0.9989508890573336, gamma estimate=0.012374976641615576
beta estimate=0.9989378053789443, gamma estimate=0.012327468039577627
beta estimate=0.9989141009779693, gamma estimate=0.012189752388537312
beta estimate=0.9989031190377531, gamma estimate=0.012137811369203999
beta estimate=0.9989016214535584, gamma estimate=0.011966003109022183
beta estimate=0.9988845050749793, gamma estimate=0.011955395503688127
beta estimate=0.9988825151407474, gamma estimate=0.01189494307399458
beta estimate=0.9988716628647762, gamma estimate=0.011833946858666233
beta estimate=0.9988792061337677, gamma estimate=0.01199455493949031
beta estimate=0.9988500042968574, gamma estimate=0.011869466444089816
beta estimate=0.9988735151304364, gamma estimate=0.01197126537598081
beta estimate=0.9988969193178971, gamma estimate=0.011917216708736023
beta estimate=0.9988685239475554, gamma estimate=0.011968294262741097
beta estimate=0.9989040787813851, gamma estimate=0.011863658179982473
beta estimate=0.9989050995482944, gamma estimate=0.011997750331185053
beta estimate=0.9988714407329837, gamma estimate=0.012168006843740808
beta estimate=0.9988685220251485, gamma estimate=0.012144513394520218
beta estimate=0.9988564933305885, gamma estimate=0.012242711557075292
beta estimate=0.9988569675902494, gamma estimate=0.012280767913893487
beta estimate=0.9988186374256307, gamma estimate=0.01232083080393026
beta estimate=0.9988358512113016, gamma estimate=0.012312366710357459
beta estimate=0.9988283422858986, gamma estimate=0.012407662944160569
beta estimate=0.9988608885959983, gamma estimate=0.012449097178114654
beta estimate=0.9988742054934554, gamma estimate=0.012316996267815794
beta estimate=0.9988415286416308, gamma estimate=0.012269114959574445
beta estimate=0.9988695394337235, gamma estimate=0.012315657049718542
beta estimate=0.9988610797968833, gamma estimate=0.012279631959412729
beta estimate=0.9988418318231669, gamma estimate=0.012162427893063155
beta estimate=0.9988407760173519, gamma estimate=0.011954665926793007
beta estimate=0.9988531371736215, gamma estimate=0.012081252191422864
beta estimate=0.998840380439121, gamma estimate=0.012175770843846634
beta estimate=0.9988443480001861, gamma estimate=0.011964434326407702
beta estimate=0.9988286965397545, gamma estimate=0.011862632049736421
beta estimate=0.9988171397352514, gamma estimate=0.011824966799121817
beta estimate=0.9987761887432807, gamma estimate=0.011727563113223372
beta estimate=0.9987751103184792, gamma estimate=0.011814928970063587
beta estimate=0.9988439039432095, gamma estimate=0.011646456235382241
beta estimate=0.9988442080775384, gamma estimate=0.011533438123120188
beta estimate=0.9988597614298291, gamma estimate=0.011575842237022071
beta estimate=0.9988401724409163, gamma estimate=0.011602112180391144
beta estimate=0.9988300331923158, gamma estimate=0.01160542998081393
beta estimate=0.9987873488773007, gamma estimate=0.011619937531543056
beta estimate=0.9987508249239385, gamma estimate=0.011772742976177974
beta estimate=0.9987793037552241, gamma estimate=0.0117371640510876
beta estimate=0.9987717428471135, gamma estimate=0.0116581332906458
beta estimate=0.9987807534649836, gamma estimate=0.011582353382492971
beta estimate=0.9987607839239856, gamma estimate=0.0115047435011848
beta estimate=0.9987322482247031, gamma estimate=0.011464379780274314
beta estimate=0.998763508281247, gamma estimate=0.011286546598774205
beta estimate=0.998738534466161, gamma estimate=0.011372855049591346
beta estimate=0.998761477978553, gamma estimate=0.011312262203038437
beta estimate=0.9987183328634198, gamma estimate=0.011172947197171101
beta estimate=0.9987092395099182, gamma estimate=0.011143480732711875
beta estimate=0.9987172579640513, gamma estimate=0.01125438051707045
beta estimate=0.9987424348331471, gamma estimate=0.011330650771270212
beta estimate=0.9987186761947616, gamma estimate=0.01128794901110819
beta estimate=0.9987509668639707, gamma estimate=0.01139299059302512
beta estimate=0.9987653161224597, gamma estimate=0.011517871200619423
beta estimate=0.9988032502571372, gamma estimate=0.011445114827066116
beta estimate=0.9988180957164728, gamma estimate=0.01143538535073918
beta estimate=0.9988191810938416, gamma estimate=0.011196490434748407
beta estimate=0.998814560482551, gamma estimate=0.010928549697415135
beta estimate=0.9988486286094838, gamma estimate=0.010789957326561794
beta estimate=0.9988638440404479, gamma estimate=0.010927570008183674
beta estimate=0.9988942891905817, gamma estimate=0.01077865947126
beta estimate=0.9988638133797705, gamma estimate=0.010619431952915592
beta estimate=0.9988657832290895, gamma estimate=0.010733767372164638
beta estimate=0.9988542747040212, gamma estimate=0.01076623282039274
beta estimate=0.9988581684826385, gamma estimate=0.010661686895983846
beta estimate=0.9988745659331739, gamma estimate=0.010560017860926862
beta estimate=0.9988704374358708, gamma estimate=0.010655583423492154
beta estimate=0.9988617847322363, gamma estimate=0.010604772514172356
beta estimate=0.9988792190630862, gamma estimate=0.010704179263885394
beta estimate=0.9988979207149002, gamma estimate=0.01071256332095133
beta estimate=0.9989219364264597, gamma estimate=0.010811313918165588
beta estimate=0.9989619083312502, gamma estimate=0.01079892507419028
beta estimate=0.9989212018357739, gamma estimate=0.010643178810189169
beta estimate=0.9989300742514212, gamma estimate=0.010716162920991812
beta estimate=0.9989194511407142, gamma estimate=0.010821420496528178
beta estimate=0.9989101342842572, gamma estimate=0.010845872165749781
beta estimate=0.9989145202550418, gamma estimate=0.010922281079769391
beta estimate=0.9988914563067384, gamma estimate=0.010940525328794304
beta estimate=0.9989170849757962, gamma estimate=0.010879813112269376
beta estimate=0.9989075604583653, gamma estimate=0.010783106371082818
beta estimate=0.9989131471415615, gamma estimate=0.010794106954537364
beta estimate=0.9988922851605206, gamma estimate=0.010928907303713598
beta estimate=0.9988974314914861, gamma estimate=0.010904917143971071
beta estimate=0.9988904826057794, gamma estimate=0.010923378311621434
beta estimate=0.998898800358379, gamma estimate=0.010861008668123229
beta estimate=0.9989118320656785, gamma estimate=0.010780514980471001
beta estimate=0.9989160922328794, gamma estimate=0.010758224550488915
beta estimate=0.9989331406955252, gamma estimate=0.010835975395599884
beta estimate=0.9989329525022446, gamma estimate=0.010726844788798706
beta estimate=0.9989279452894059, gamma estimate=0.010838654105413625
beta estimate=0.9989349450401104, gamma estimate=0.010781113190375335
beta estimate=0.9989398264150846, gamma estimate=0.010713326736120132
beta estimate=0.9989251867057577, gamma estimate=0.010724596841257539
beta estimate=0.9989281086646309, gamma estimate=0.010771539972869393
beta estimate=0.9989227646091035, gamma estimate=0.010734520414488413
beta estimate=0.9989143255750271, gamma estimate=0.010641575920404767
beta estimate=0.9989055614966242, gamma estimate=0.010708219214338899
beta estimate=0.9988890351119958, gamma estimate=0.010725009223928383
beta estimate=0.9988765780326634, gamma estimate=0.010938512746026252
beta estimate=0.9988969250809756, gamma estimate=0.01096082892588457
beta estimate=0.9988944960293074, gamma estimate=0.010957417604146313
beta estimate=0.9988876347648066, gamma estimate=0.011114332474333521
beta estimate=0.9988650055221324, gamma estimate=0.011125925178277318
beta estimate=0.9988852952453309, gamma estimate=0.011106527585395765
beta estimate=0.9989156305390154, gamma estimate=0.010810445957985249
beta estimate=0.9989155230522297, gamma estimate=0.010779781737512484
beta estimate=0.9988998265598281, gamma estimate=0.010451943267292763
beta estimate=0.9988973460601607, gamma estimate=0.010313146847355958
beta estimate=0.9989024328007537, gamma estimate=0.010383135267535704
beta estimate=0.9989283348239555, gamma estimate=0.01024711911128351
beta estimate=0.9989412603869638, gamma estimate=0.010099509211616953
beta estimate=0.9989304812658015, gamma estimate=0.009994014271775598
beta estimate=0.998965982523451, gamma estimate=0.009916673112377539
beta estimate=0.9989739067523851, gamma estimate=0.009976802673351215
beta estimate=0.9989653603708131, gamma estimate=0.00999572525339304
beta estimate=0.9989715408769905, gamma estimate=0.009929458199784802
beta estimate=0.9989853325665016, gamma estimate=0.009780817266919872
beta estimate=0.9989912879570649, gamma estimate=0.009785296561545476
beta estimate=0.9990083940544825, gamma estimate=0.009802872645062077
